Symbol,Name,Country,IPO Year,Sector,Industry
FOXA,Fox Corporation Class A Common Stock,United States,,Consumer Services,Broadcasting
FOXF,Fox Factory Holding Corp. Common Stock,United States,2013,Consumer Non-Durables,Motor Vehicles
FOXW,FoxWayne Enterprises Acquisition Corp. Class A Common Stock,United States,2021,,
FOXWU,FoxWayne Enterprises Acquisition Corp. Unit,United States,2021,Finance,Business Services
FOXWW,FoxWayne Enterprises Acquisition Corp. Warrant,United States,2021,,
FPAY,FlexShopper Inc. Common Stock,United States,,Technology,Diversified Commercial Services
FPRX,Five Prime Therapeutics Inc. Common Stock,United States,2013,Health Care,Major Pharmaceuticals
FRAF,Franklin Financial Services Corporation Common Stock,United States,,Finance,Major Banks
FRBA,First Bank Common Stock,United States,2013,,
FRBK,Republic First Bancorp Inc. Common Stock,United States,,Finance,Major Banks
FREE,Whole Earth Brands Inc. Class A Common Stock,United States,2019,Consumer Non-Durables,Specialty Foods
FREEW,Whole Earth Brands Inc. Warrant,United States,2019,Consumer Non-Durables,Specialty Foods
FREQ,Frequency Therapeutics Inc. Common Stock,United States,2019,Health Care,Major Pharmaceuticals
FRG,Franchise Group Inc. Common Stock,United States,,Miscellaneous,Multi-Sector Companies
FRGAP,Franchise Group Inc. 7.50% Series A Cumulative Perpetual Preferred Stock,United States,,,
FRGI,Fiesta Restaurant Group Inc. Common Stock,United States,,Consumer Services,Restaurants
FRHC,Freedom Holding Corp. Common Stock,Kazakhstan,,Finance,Investment Bankers/Brokers/Service
FRLN,Freeline Therapeutics Holdings plc American Depositary Shares,United Kingdom,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FRME,First Merchants Corporation Common Stock,United States,,Finance,Major Banks
FROG,JFrog Ltd. Ordinary Shares,United States,2020,Technology,Computer Software: Prepackaged Software
FRPH,FRP Holdings Inc. Common Stock,United States,,Finance,Real Estate
FRPT,Freshpet Inc. Common Stock,United States,2014,Consumer Non-Durables,Packaged Foods
FRSX,Foresight Autonomous Holdings Ltd. American Depositary Shares,Israel,,Technology,Computer Software: Prepackaged Software
FRTA,Forterra Inc. Common Stock,United States,2016,Capital Goods,Building Materials
FSBW,FS Bancorp Inc. Common Stock,United States,2012,Finance,Banks
FSEA,First Seacoast Bancorp Common Stock,United States,2019,Finance,Savings Institutions
FSFG,First Savings Financial Group Inc. Common Stock,United States,,Finance,Savings Institutions
FSII,FS Development Corp. II Class A Common Stock,United States,2021,Finance,Business Services
FSLR,First Solar Inc. Common Stock,United States,2006,Technology,Semiconductors
FSRV,FinServ Acquisition Corp. Class A Common Stock,United States,2019,Technology,Diversified Commercial Services
FSRVU,FinServ Acquisition Corp. Unit,United States,2019,Technology,Diversified Commercial Services
FSRVW,FinServ Acquisition Corp. Warrant,United States,2019,Technology,Diversified Commercial Services
FSRXU,FinServ Acquisition Corp. II Unit,United States,2021,Finance,Business Services
FSSIU,Fortistar Sustainable Solutions Corp. Unit,United States,2021,Finance,Business Services
FSTR,L.B. Foster Company Common Stock,United States,,Basic Industries,Metal Fabrications
FSTX,F-star Therapeutics Inc. Common Stock,United States,2016,Health Care,Major Pharmaceuticals
FSV,FirstService Corporation Common Shares,Canada,,Finance,Real Estate
FTAAU,FTAC Athena Acquisition Corp. Unit,United States,2021,Finance,Business Services
FTCV,FinTech Acquisition Corp. V Class A Common Stock,United States,2021,Finance,Business Services
FTCVU,FinTech Acquisition Corp. V Unit,United States,2020,Finance,Business Services
FTCVW,FinTech Acquisition Corp. V Warrant,United States,2021,Finance,Business Services
FTDR,frontdoor inc. Common Stock,United States,,Finance,Diversified Commercial Services
FTEK,Fuel Tech Inc. Common Stock,United States,,Capital Goods,Pollution Control Equipment
FTFT,Future FinTech Group Inc. Common Stock,China,,Miscellaneous,Business Services
FTHM,Fathom Holdings Inc. Common Stock,United States,2020,Finance,Real Estate
FTIV,FinTech Acquisition Corp. IV Class A Common Stock,United States,2020,Finance,Investment Managers
FTIVU,FinTech Acquisition Corp. IV Unit,United States,2020,Finance,Investment Managers
FTIVW,FinTech Acquisition Corp. IV Warrant,United States,2020,Finance,Investment Managers
FTNT,Fortinet Inc. Common Stock,United States,2009,Technology,Computer peripheral equipment
FTOC,FTAC Olympus Acquisition Corp. Class A Ordinary Shares,United States,2020,Finance,Business Services
FTOCU,FTAC Olympus Acquisition Corp. Unit,United States,2020,Finance,Business Services
FTOCW,FTAC Olympus Acquisition Corp. Warrant,United States,2020,Finance,Business Services
FULC,Fulcrum Therapeutics Inc. Common Stock,United States,2019,Health Care,Major Pharmaceuticals
FULT,Fulton Financial Corporation Common Stock,United States,,Finance,Major Banks
FULTP,Fulton Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,Finance,Major Banks
FUNC,First United Corporation Common Stock,United States,,Finance,Major Banks
FUND,Sprott Focus Trust Inc. Common Stock,United States,,Consumer Services,Miscellaneous
FUSB,First US Bancshares Inc. Common Stock,United States,,Finance,Major Banks
FUSN,Fusion Pharmaceuticals Inc. Common Shares,Canada,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FUTU,Futu Holdings Limited American Depositary Shares,Hong Kong,2019,Finance,Investment Bankers/Brokers/Service
FUV,Arcimoto Inc. Common Stock,United States,2017,Consumer Non-Durables,Motor Vehicles
FVAM,5:01 Acquisition Corp. Class A Common Stock,United States,2020,Finance,Business Services
FVCB,FVCBankcorp Inc. Common Stock,United States,,Finance,Major Banks
FVE,Five Star Senior Living Inc. Common Stock,United States,,Health Care,Hospital/Nursing Management
FWAA,Fifth Wall Acquisition Corp. I Class A Common Stock,United States,2021,Finance,Business Services
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,United States,,Consumer Services,Broadcasting
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,United States,,Consumer Services,Broadcasting
FWP,Forward Pharma A/S American Depositary Shares,Denmark,2014,Health Care,Major Pharmaceuticals
FWRD,Forward Air Corporation Common Stock,United States,,Transportation,Oil Refining/Marketing
FXNC,First National Corporation Common Stock,United States,,Finance,Major Banks
GABC,German American Bancorp Inc. Common Stock,United States,,Finance,Major Banks
GAIA,Gaia Inc. Class A Common Stock,United States,1999,Consumer Services,Movies/Entertainment
GAIN,Gladstone Investment Corporation Business Development Company,United States,2005,,
GAINL,Gladstone Investment Corporation 6.375% Series E Cumulative Term Preferred Stock due 2025,United States,,,
GAINM,Gladstone Investment Corporation 6.25% Series D Cumulative Term Preferred Stock,United States,,,
GALT,Galectin Therapeutics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
GAN,GAN Limited Ordinary Shares,United Kingdom,2020,Technology,Computer Software: Programming Data Processing
GASS,StealthGas Inc. Common Stock,Greece,2005,Transportation,Marine Transportation
GBCI,Glacier Bancorp Inc. Common Stock,United States,,Finance,Major Banks
GBDC,Golub Capital BDC Inc. Common Stock,United States,2010,,
GBIO,Generation Bio Co. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
GBLI,Global Indemnity Group LLC Class A Common Stock (DE),Ireland,,Finance,Property-Casualty Insurers
GBLIL,Global Indemnity Group LLC 7.875% Subordinated Notes due 2047,Ireland,,Finance,Property-Casualty Insurers
GBNY,Generations Bancorp NY Inc. Common Stock,United States,2021,Finance,Major Banks
GBOX,Greenbox POS Common Stock,United States,,Consumer Services,Professional Services
GBS,GBS Inc. Common Stock,United States,2020,Health Care,Medical/Dental Instruments
GBT,Global Blood Therapeutics Inc. Common Stock,United States,2015,Health Care,Major Pharmaceuticals
GCACU,Growth Capital Acquisition Corp. Unit,United States,2021,Finance,Business Services
GCBC,Greene County Bancorp Inc. Common Stock,United States,,Finance,Banks
GCMG,GCM Grosvenor Inc. Class A Common Stock,United States,,Finance,Investment Managers
GCMGW,GCM Grosvenor Inc. Warrant,United States,,Finance,Investment Managers
GDEN,Golden Entertainment Inc. Common Stock,United States,,Consumer Services,Services-Misc. Amusement & Recreation
GDRX,GoodRx Holdings Inc. Class A Common Stock,United States,2020,Technology,EDP Services
GDS,GDS Holdings Limited ADS,China,2016,Technology,Computer Software: Programming Data Processing
GDYN,Grid Dynamics Holdings Inc. Class A Common Stock,United States,2018,Technology,Computer Software: Prepackaged Software
GDYNW,Grid Dynamics Holdings Inc. Warrant,United States,2018,Technology,Computer Software: Prepackaged Software
GECC,Great Elm Capital Corp. Common Stock,United States,,,
GECCL,Great Elm Capital Corp. 6.50% Notes due 2022,United States,,,
GECCM,Great Elm Capital Corp. 6.75% Notes Due 2025,United States,,,
GECCN,Great Elm Capital Corp. 6.5% Notes due 2024,United States,,,
GEG,Great Elm Group Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
GENC,Gencor Industries Inc. Common Stock,United States,,Capital Goods,Construction/Ag Equipment/Trucks
GENE,Genetic Technologies Ltd  Sponsored ADR,Australia,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GEOS,Geospace Technologies Corporation Common Stock (Texas),United States,,Capital Goods,Industrial Machinery/Components
GERN,Geron Corporation Common Stock,United States,1996,Health Care,Major Pharmaceuticals
GEVO,Gevo Inc. Common Stock,United States,2011,Basic Industries,Major Chemicals
GFED,Guaranty Federal Bancshares Inc. Common Stock,United States,,Finance,Major Banks
GFN,General Finance Corporation General Finance Corporation Common Stock,United States,,Technology,Diversified Commercial Services
GFNCP,General Finance Corporation Cumulative Redeemable Perpetual Preferred Series C,United States,,Technology,Diversified Commercial Services
GFNSZ,General Finance Corporation 7.875% Senior Notes due 2025,United States,,Technology,Diversified Commercial Services
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,Argentina,,Finance,Commercial Banks
GH,Guardant Health Inc. Common Stock,United States,2018,Health Care,Medical Specialities
GHACU,Gaming & Hospitality Acquisition Corp. Unit,United States,2021,Finance,Business Services
GHSI,Guardion Health Sciences Inc. Common Stock,United States,2019,Health Care,Major Pharmaceuticals
GHVI,Gores Holdings VI Inc. Class A Common Stock,United States,2021,Finance,Business Services
GHVIU,Gores Holdings VI Inc. Unit,United States,2020,Finance,Finance: Consumer Services
GHVIW,Gores Holdings VI Inc. Warrant,United States,2021,Finance,Business Services
GIFI,Gulf Island Fabrication Inc. Common Stock,United States,1997,Capital Goods,Metal Fabrications
GIGGU,GigCapital4 Inc. Unit,United States,2021,Finance,Business Services
GIGM,GigaMedia Limited Ordinary Shares,Taiwan,,Technology,Computer Software: Programming Data Processing
GIII,G-III Apparel Group LTD. Common Stock,United States,1989,Consumer Non-Durables,Apparel
GIIXU,Gores Holdings VIII Inc. Unit,United States,2021,Finance,Business Services
GILD,Gilead Sciences Inc. Common Stock,United States,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GILT,Gilat Satellite Networks Ltd. Ordinary Shares,Israel,,Technology,Radio And Television Broadcasting And Communications Equipment
GLAD,Gladstone Capital Corporation Common Stock,United States,2001,Consumer Non-Durables,Textiles
GLADL,Gladstone Capital Corporation 5.375% Notes due 2024,United States,,Consumer Non-Durables,Textiles
GLAQ,Globis Acquisition Corp. common stock,United States,2021,Finance,Business Services
GLAQU,Globis Acquisition Corp. Unit,United States,2020,Finance,Business Services
GLAQW,Globis Acquisition Corp. Warrant,United States,2021,Finance,Business Services
GLBLU,Cartesian Growth Corporation Unit,United States,2021,,
GLBS,Globus Maritime Limited Common Stock,Greece,,Transportation,Marine Transportation
GLBZ,Glen Burnie Bancorp Common Stock,United States,,Finance,Major Banks
GLDD,Great Lakes Dredge & Dock Corporation Common Stock,United States,,Basic Industries,Military/Government/Technical
GLG,TD Holdings Inc. Common Stock,China,2013,Finance,Major Banks
GLMD,Galmed Pharmaceuticals Ltd. Ordinary Shares,Israel,2014,Health Care,Major Pharmaceuticals
GLNG,Golar Lng Ltd,Bermuda,,Consumer Services,Marine Transportation
GLPG,Galapagos NV American Depositary Shares,Belgium,2015,Health Care,Major Pharmaceuticals
GLPI,Gaming and Leisure Properties Inc. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
GLRE,Greenlight Capital Re Ltd. Class A Ordinary Shares,Cayman Islands,2007,Finance,Property-Casualty Insurers
GLSI,Greenwich LifeSciences Inc. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
GLTO,Galecto Inc. Common Stock,Denmark,2020,Health Care,Major Pharmaceuticals
GLUU,Glu Mobile Inc. Common Stock,United States,2007,Technology,EDP Services
GLYC,GlycoMimetics Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
GMAB,Genmab A/S ADS,Denmark,2019,Health Care,Major Pharmaceuticals
GMBL,Esports Entertainment Group Inc. Common Stock,Malta,,Consumer Services,Services-Misc. Amusement & Recreation
GMBLW,Esports Entertainment Group Inc. Warrant,Malta,,Consumer Services,Services-Misc. Amusement & Recreation
GMBTU,Queen's Gambit Growth Capital Unit,United States,2021,Finance,Business Services
GMDA,Gamida Cell Ltd. Ordinary Shares,Israel,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GMIIU,Gores Metropoulos II Inc. Unit,United States,2021,Finance,Business Services
GMLP,Golar LNG Partners LP Common Units Representing Limited Partnership,Bermuda,2011,Consumer Services,Marine Transportation
GMLPP,Golar LNG Partners LP 8.75% Series A Cumulative Redeemable Preferred Units,Bermuda,,Consumer Services,Marine Transportation
GMTX,Gemini Therapeutics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
GNACU,Group Nine Acquisition Corp. Unit,United States,2021,Finance,Business Services
GNCA,Genocea Biosciences Inc. Common Stock,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNFT,GENFIT S.A. American Depositary Shares,France,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNLN,Greenlane Holdings Inc. Class A Common Stock,United States,2019,Capital Goods,Recreational Products/Toys
GNMK,GenMark Diagnostics Inc. Common Stock,United States,2010,Health Care,Medical/Dental Instruments
GNOG,Golden Nugget Online Gaming Inc. Class A Common Stock,United States,2019,Technology,Computer Software: Prepackaged Software
GNOGW,Golden Nugget Online Gaming Inc. Warrant,United States,2019,Technology,Computer Software: Prepackaged Software
GNPX,Genprex Inc. Common Stock,United States,2018,Health Care,Major Pharmaceuticals
GNRS,Greenrose Acquisition Corp. Common Stock,United States,2020,Finance,Business Services
